TITLE,PDF
,1803.08810.pdf
,1808.04456.pdf
,1909.11340.pdf
Formal Analysis of the Biological Circuits using Higher-order-logic Theorem Proving,1912.07340.pdf
,1811.03478.pdf
,2002.04764.pdf
,2012.11037.pdf
An Executable Structural Operational  Formal Semantics for Python,2109.03139.pdf
,2105.10598.pdf
,1711.04895.pdf
,1101.1740.pdf
,1109.4039.pdf
,1706.05476.pdf
,1609.01088.pdf
,2102.12406.pdf
,1804.06112.pdf
,1311.7589.pdf
,2012.05088.pdf
,1908.02210.pdf
WAccess - A Web Accessibility Tool based on the latest WCAG 2.2 guidelines,2107.06799.pdf
,2110.14579.pdf
Hedonic Games and Treewidth Revisited,2202.06925.pdf
,1904.09105.pdf
,1211.4473.pdf
Understand Dynamic Regret with Switching Cost for Online Decision Making,1911.12595.pdf
,2102.07851.pdf
,1010.3484.pdf
Greedy and Local Ratio Algorithms in the MapReduce Model,1806.06421.pdf
,1607.02184.pdf
,1703.08717.pdf
,1512.01568.pdf
,1902.09213.pdf
,2107.14159.pdf
,1606.01454.pdf
,2107.04324.pdf
,2205.04650.pdf
,1701.04128.pdf
Paper Title (use style: paper title),1912.02651.pdf
,1912.03312.pdf
,1505.04633.pdf
,2006.07556.pdf
,1809.07405.pdf
,1305.3321.pdf
,1602.06832.pdf
,1311.7295.pdf
,2211.16961.pdf
clem.nbs_freq_round.eps,1112.4645.pdf
,2003.10063.pdf
,2001.00607.pdf
,1901.03446.pdf
,2110.09152.pdf
,2301.10692.pdf
,2007.02919.pdf
,1912.05843.pdf
,1812.05131.pdf
,1402.5634.pdf
,2103.09452.pdf
,1407.6447.pdf
,1901.00894.pdf
,2107.12373.pdf
,2206.04865.pdf
A Compiler Infrastructure for Accelerator Generators ,2102.09713.pdf
,1805.07613.pdf
,1812.10427.pdf
,2003.04179.pdf
,1604.08202.pdf
Towards Interpretable Authorship Verification,2006.12418.pdf
,2110.06848.pdf
,1805.11359.pdf
,1502.00120.pdf
,2001.11694.pdf
,1609.08486.pdf
Similar Cases Recommendation using Legal Knowledge Graphs,2107.04771.pdf
Development of Word Embeddings for Uzbek Language,2009.14384.pdf
,1709.00714.pdf
,2107.14590.pdf
,2011.01017.pdf
,2203.00936.pdf
Microsoft Word - 1.doc,1207.2697.pdf
Microsoft Word - 2411vlsics09,1201.2542.pdf
,1202.2868.pdf
,1207.6328.pdf
Paper Title (use style: paper title),1602.07127.pdf
,2206.03124.pdf
,2112.05575.pdf
,2109.00279.pdf
,1410.4773.pdf
,1506.03611.pdf
,1909.04157.pdf
[UPDATED] Thinking Wave Paper - Exploration of increasing driver’s trust,2107.01763.pdf
,1407.6124.pdf
,1503.06745.pdf
,2105.08982.pdf
,1912.02401.pdf
,2107.07266.pdf
Computation of Transfer Function with Symbolic Variables ,0906.5561.pdf
Microsoft Word - 24-28,1003.4063.pdf
,0709.3094.pdf
,2203.05250.pdf
Approximations for modeling light scattering by spheres with uncertainty in physical parameters,2112.13786.pdf
,2104.01283.pdf
,2204.13957.pdf
,1707.09605.pdf
,1908.00111.pdf
,1406.4679.pdf
,2105.05449.pdf
,1103.5364.pdf
,2003.03929.pdf
,1707.05987.pdf
,1310.8057.pdf
,1903.03944.pdf
Segmentation of ultrasound images of thyroid nodule for assisting fine needle aspiration cytology,1211.0602.pdf
,1602.03945.pdf
AAAI Proceedings Template,2208.06040.pdf
,2007.16189.pdf
arXiv:2106.14719v1  [cs.IT]  28 Jun 2021,2106.14719.pdf
,1906.04737.pdf
,1904.05178.pdf
,0710.4652.pdf
Attention-Informed Mixed-Language Training for Zero-shot Cross-lingual Task-oriented Dialogue Systems,1911.09273.pdf
,1409.6856.pdf
,1905.05946.pdf
,1704.07158.pdf
,2002.12486.pdf
manuscript_antifragility_final_hk,1812.06760.pdf
,1712.07316.pdf
,1507.06745.pdf
,1012.5210.pdf
,1908.08990.pdf
,1502.02417.pdf
,2203.01016.pdf
,2002.04678.pdf
untitled,1305.7485.pdf
,1703.02920.pdf
,2008.09293.pdf
,1704.03992.pdf
,1904.11074.pdf
,1310.8059.pdf
,2109.03615.pdf
,2106.08427.pdf
,2101.03419.pdf
,2202.07265.pdf
,2101.03266.pdf
,1607.00597.pdf
,2007.12987.pdf
,2010.14694.pdf
MultiFair: Multi-Group Fairness in Machine Learning,2105.11069.pdf
,1408.3942.pdf
,1606.05749.pdf
Weighted Tensor Completion for Time-Series Causal Inference,1902.04646.pdf
,2208.10480.pdf
,1707.05635.pdf
Response to ``Comment on `Origin of the Curie–von Schweidler law and the fractional capacitor from time-varying capacitance [J. Pow. Sources 532 (2022) 231309]' '',2210.13209.pdf
,1404.4821.pdf
Microsoft Word - 7-1-32-Shumeyko.doc,0906.0861.pdf
,1704.00159.pdf
,2107.12269.pdf
,1412.6673.pdf
,1811.07491.pdf
,2111.02725.pdf
arXiv:0810.0753v1  [cs.PL]  4 Oct 2008,0810.0753.pdf
,1909.11512.pdf
,2104.06094.pdf
,1707.06962.pdf
,1910.02558.pdf
,1412.0980.pdf
,1804.09508.pdf
,1305.6836.pdf
arXiv:2005.01562v1  [cs.IT]  4 May 2020,2005.01562.pdf
,1408.0540.pdf
,1303.5427.pdf
,1911.09065.pdf
,2011.07446.pdf
,2103.06624.pdf
Pheno-Mapper: An Interactive Toolbox for the Visual Exploration of Phenomics Data,2106.13397.pdf
N_Peakfound.eps,1403.6330.pdf
,1605.02147.pdf
,2102.04682.pdf
,1608.08237.pdf
,2106.07190.pdf
,1912.07618.pdf
,1110.5097.pdf
,2208.03246.pdf
,2110.12968.pdf
,1806.02255.pdf
Discriminative Features via Generalized Eigenvectors,1310.1934.pdf
,2107.10763.pdf
,1711.03591.pdf
Structural properties of the set of nonrealizable densities,1704.01940.pdf
,2211.08243.pdf
,2107.06331.pdf
,2102.06384.pdf
,2104.01648.pdf
,1902.01994.pdf
Microsoft Word - sf_edcc2016_v4_final.doc,1608.06559.pdf
,2012.00282.pdf
,2101.06770.pdf
An Inverse Procedural Modeling Pipeline for SVBRDF Maps,2109.06395.pdf
arXiv:1607.05457v1  [cs.IT]  19 Jul 2016,1607.05457.pdf
,2107.12578.pdf
,1406.2534.pdf
Quantum machine learning with adaptive linear optics,2102.04579.pdf
,1910.07178.pdf
,2103.08193.pdf
,1206.3953.pdf
,2007.14589.pdf
,2102.00632.pdf
,2106.05299.pdf
,2112.10024.pdf
,1406.1203.pdf
Learning and Querying Fast Generative Models for Reinforcement Learning,1802.03006.pdf
,2110.02669.pdf
,2209.02978.pdf
,2207.00841.pdf
,2106.06624.pdf
,1312.4707.pdf
,1901.02923.pdf
,1708.02146.pdf
,2208.11275.pdf
Type of the Paper (Article,2105.05161.pdf
Microsoft Word - Text_cat.doc,1009.4994.pdf
,2006.01615.pdf
,2205.04914.pdf
,1904.11727.pdf
SP-GAN: Sphere-Guided 3D Shape Generation and Manipulation,2108.04476.pdf
,2104.06387.pdf
,1711.01391.pdf
,2010.06608.pdf
,2012.00287.pdf
,1911.08709.pdf
,1901.06694.pdf
"Date of publication xxxx 00, 0000, date of current version xxxx 00, 0000",2002.07646.pdf
Microsoft Word - Arif-Islamabad.doc,1511.08827.pdf
,2004.14201.pdf
,2107.03352.pdf
,2105.12821.pdf
,0808.1671.pdf
,2111.10267.pdf
,2206.05478.pdf
,1109.1670.pdf
,1707.08305.pdf
,1903.08644.pdf
,0811.3602.pdf
Preference-based Multiobjective Virtual Machine Placement: A Ceteris Paribus Approach,1904.09477.pdf
,1801.02062.pdf
Microsoft Word - WSL_OPENCLUSTER-For-ARXIV.docx,1701.04907.pdf
query_time_social.eps,2211.08648.pdf
,1912.08436.pdf
,1312.4798.pdf
,2103.04910.pdf
,1901.08469.pdf
,2005.03834.pdf
Siamese Meta-Learning and Algorithm Selection with ‘Algorithm-Performance Personas’ [Proposal],2006.12328.pdf
,1605.05757.pdf
,1805.04876.pdf
,1804.09298.pdf
,1803.08414.pdf
,2204.10881.pdf
,1903.04092.pdf
,2107.14264.pdf
,2011.14878.pdf
"Playing Safe, Ten Years Later",2212.12024.pdf
,1208.6028.pdf
,1906.02079.pdf
,1512.08041.pdf
,1409.8112.pdf
,1907.02339.pdf
,1612.02574.pdf
,1808.02004.pdf
,1704.06192.pdf
%,1812.06722.pdf
,2110.04692.pdf
,2110.11259.pdf
,1912.04229.pdf
,2110.08458.pdf
,1609.05130.pdf
Truncated Log-concave Sampling with Reflective Hamiltonian Monte Carlo,2102.13068.pdf
,2004.10705.pdf
Topological Inference of Manifolds with Boundary,1810.05759.pdf
,1806.11166.pdf
,2210.09198.pdf
,1805.00599.pdf
,2002.02316.pdf
,1903.03088.pdf
,2105.00882.pdf
,2004.05161.pdf
,1909.00049.pdf
,2010.13513.pdf
,1812.06237.pdf
,1909.02776.pdf
,2106.05872.pdf
,2106.01741.pdf
,2105.05484.pdf
,1909.07072.pdf
,1707.02568.pdf
Interpolation of Dense and Sparse Rational Functions and other Improvements in FireFly,2004.01463.pdf
,1212.6680.pdf
,1904.09736.pdf
,1902.07239.pdf
,2011.04923.pdf
Risk-Averse Optimization for Resilience Enhancement of Complex Engineering Systems under Uncertainties,2009.02351.pdf
arXiv:1004.3395v1  [cs.DC]  20 Apr 2010,1004.3395.pdf
,2110.14392.pdf
,2204.03332.pdf
,1907.00199.pdf
,2105.08116.pdf
,1501.07860.pdf
,2107.01194.pdf
,1109.6698.pdf
,2210.00874.pdf
,1902.01886.pdf
,1203.5350.pdf
,2106.05007.pdf
,2012.03173.pdf
,1702.02508.pdf
Microsoft Word - MMT_Mazen.doc,0708.3811.pdf
The most controversial topics in Wikipedia:,1305.5566.pdf
,1905.04752.pdf
,2207.02990.pdf
,2110.04619.pdf
,1804.00290.pdf
Microsoft Word - NLP4SleepAD-AMIA_draft_v3.docx,2204.09601.pdf
super-reflective.pages,2003.05026.pdf
,1412.6781.pdf
,2104.03801.pdf
,2108.08481.pdf
,1910.04810.pdf
,2010.09618.pdf
Reliving the Dataset: Combining the Visualization of Road Users' Interactions with Scenario Reconstruction in Virtual Reality,2105.01610.pdf
,1901.03112.pdf
,2106.01518.pdf
,2206.10123.pdf
Microsoft Word - Bath paper.doc,1307.1380.pdf
,1907.08310.pdf
,2003.13165.pdf
Scalable Community Detection over Geo-Social Network,1906.05505.pdf
,1711.11487.pdf
Precise Dataflow Analysis of Event-Driven Applications,1910.12935.pdf
Project 412Connect: Bridging Students and Communities,2109.06287.pdf
,2110.06015.pdf
,2203.15748.pdf
,1504.06864.pdf
,2011.02224.pdf
,2105.12964.pdf
,2212.04560.pdf
,2109.08867.pdf
,2101.10807.pdf
,1910.09901.pdf
,2011.08319.pdf
arXiv:1303.3247v1  [cs.IT]  13 Mar 2013,1303.3247.pdf
,2008.09954.pdf
,1807.10458.pdf
,2010.13462.pdf
,2106.15321.pdf
,1705.05415.pdf
Shifted Lanczos method for quadratic forms with Hermitian matrix resolvents,2002.06738.pdf
,1009.3502.pdf
,1703.01959.pdf
,2008.00601.pdf
,0807.3451.pdf
,2105.06015.pdf
title,2105.08878.pdf
,2105.02849.pdf
Multi-Transformer: A New Neural Network-Based Architecture for Forecasting S&P Volatility,2109.12621.pdf
,2111.01456.pdf
,2108.01407.pdf
,2111.02964.pdf
,1709.05768.pdf
,1909.00769.pdf
,1606.03713.pdf
,2108.09322.pdf
Linking Stakeholder Viewpoint Concerns with Microservices ,2009.01702.pdf
,2008.09959.pdf
"Survey on Cryptocurrency Networking: Context, State-of-the-Art, Challenges",2008.08412.pdf
,2112.13627.pdf
Policy Gradients Beyond Expectations: Conditional Value-at-Risk,1404.3862.pdf
,2008.08685.pdf
Straight to the Gradient:  Learning to Use Novel Tokens for Neural Text Generation,2106.07207.pdf
,1702.07624.pdf
Electronic format submission for AP2000,0807.4478.pdf
,1801.05926.pdf
,2111.07611.pdf
,1101.5445.pdf
,2103.00499.pdf
,1801.03983.pdf
,1104.0735.pdf
Font Acknowledgment and Character Extraction of Digital and Scanned Images,1305.4064.pdf
,1410.4424.pdf
,1607.00538.pdf
,1711.03726.pdf
Finding Ethereum Smart Contracts Security Issues  by Comparing History Versions,2010.02509.pdf
,1902.01949.pdf
,2108.14004.pdf
APPLICAZIONE DEL MODELLO NUMERICO “MODFLOW” ALLO STUDIO DI UN ACQUIFERO COSTIERO DELLA PIANURA PONTINA,1910.04561.pdf
,1910.00293.pdf
,2212.06338.pdf
,2009.09284.pdf
,1710.00262.pdf
,2208.05732.pdf
,1807.02635.pdf
,1810.00322.pdf
,0907.2741.pdf
,2112.12944.pdf
,1809.00421.pdf
,1904.08504.pdf
,1612.00291.pdf
,1902.01903.pdf
GCExplainer: Human-in-the-Loop Concept-based Explanations for Graph Neural Networks,2107.11889.pdf
,1306.5930.pdf
,2104.02446.pdf
,1407.4623.pdf
,1405.3507.pdf
,2011.04183.pdf
,2002.04457.pdf
,1906.10493.pdf
,1304.3623.pdf
,1910.14448.pdf
116.docx,1511.04934.pdf
,1708.06183.pdf
,2005.07355.pdf
,1910.02900.pdf
,1811.01644.pdf
,2111.01589.pdf
,1106.3361.pdf
,1606.05289.pdf
,2101.05781.pdf
,2209.04113.pdf
,2003.12397.pdf
,1912.02051.pdf
,1602.03903.pdf
,2208.12636.pdf
arXiv:1011.6505v1  [cs.SC]  30 Nov 2010,1011.6505.pdf
,2105.06388.pdf
,2201.10956.pdf
,2103.13800.pdf
,1810.02309.pdf
,2006.04932.pdf
,0808.3112.pdf
An Empirical Study of Rule-Based and Learning-Based Approaches for Static Application Security Testing,2107.01921.pdf
,2004.03169.pdf
,1706.03248.pdf
,1508.06802.pdf
Information Geometry Approach to Parameter Estimation in Markov Chains,1401.3814.pdf
,2107.10556.pdf
,0711.2897.pdf
,1704.07352.pdf
,2110.07977.pdf
,1702.07431.pdf
,1811.12064.pdf
,2206.08029.pdf
,1509.06242.pdf
,1601.03239.pdf
,2009.05346.pdf
Semantic Robustness of Models of Source Code,2002.03043.pdf
,1512.02989.pdf
,2012.14678.pdf
Q-learning algorithm for resource allocation in WDMA-based optical wireless communication networks Final2 JE v4 clean,2105.10729.pdf
,1810.01807.pdf
,2104.04005.pdf
,1910.05231.pdf
,2211.01142.pdf
,2010.06998.pdf
,1608.06656.pdf
,1910.13140.pdf
,2102.11488.pdf
,1204.5345.pdf
,2006.10185.pdf
,2204.04857.pdf
,2101.05022.pdf
,1105.5180.pdf
,2210.10358.pdf
,2208.07399.pdf
,1509.01644.pdf
,2006.15680.pdf
,2103.11676.pdf
,1607.00360.pdf
,1904.02832.pdf
,2009.11654.pdf
,1003.4326.pdf
,1903.06469.pdf
,2110.02900.pdf
,1903.11919.pdf
,1507.07974.pdf
,2203.11317.pdf
,1301.3891.pdf
,1603.04788.pdf
,1605.06564.pdf
,1809.00365.pdf
Improving the Tightness of Convex Relaxation Bounds  for Training Certifiably Robust Classifiers,2002.09766.pdf
,1709.07817.pdf
,2110.06455.pdf
,2211.02987.pdf
Automated Search Bias Models & YouTube Gender Bias Analysis,2210.07089.pdf
,2006.13813.pdf
,1204.0067.pdf
,2103.15888.pdf
,2106.06426.pdf
,2208.09058.pdf
arXiv:1901.10367v1  [cs.LO]  29 Jan 2019,1901.10367.pdf
,1912.08768.pdf
,2112.09346.pdf
,1404.1191.pdf
,2008.00106.pdf
,1610.02841.pdf
,0906.0447.pdf
,2111.10044.pdf
,2007.08745.pdf
,1811.08919.pdf
On Computing the Hamiltonian Index of Graphs,1912.01990.pdf
,1606.00195.pdf
A study of defect-based error estimates for the Krylov approximation of phi-functions,2001.11922.pdf
,2004.13321.pdf
,2209.05139.pdf
,2005.11716.pdf
AutoInt: Automatic Feature Interaction Learning via Self-Attentive Neural Networks,1810.11921.pdf
,1806.01396.pdf
Loop estimator for discounted values in Markov reward processes,2002.06299.pdf
,2109.04939.pdf
Microsoft Word - IJCAI21wk.DeepCBR.final.docx,2104.14461.pdf
,1705.05366.pdf
A Review of Product Safety Regulations in the European Union,2102.03679.pdf
,2004.12565.pdf
,1407.1524.pdf
arXiv:1109.5468v1  [cs.LO]  26 Sep 2011,1109.5468.pdf
,2011.03308.pdf
,1706.05412.pdf
,1703.06971.pdf
,2210.14036.pdf
,1904.00168.pdf
,2301.09602.pdf
,2111.13910.pdf
On Worst-case Regret of Linear Thompson Sampling,2006.06790.pdf
,2101.12704.pdf
,1912.11596.pdf
,2010.06499.pdf
Learning to Ignore: A Case Study of Organization-Wide Bulk Email Effectiveness,2006.16508.pdf
Robustness and Generalization for Metric Learning,1209.1086.pdf
,1704.03636.pdf
,2105.08196.pdf
AWEU-Net: An Attention-Aware Weight Excitation U-Net for Lung Nodule Segmentation,2110.05144.pdf
 Indeterminacy in Latent Variable Models: Characterization and Strong Identifiability,2206.00801.pdf
,1408.0532.pdf
,1711.03888.pdf
,1802.09301.pdf
,2104.03544.pdf
,1507.01443.pdf
,1906.06011.pdf
,1806.08621.pdf
,1904.09238.pdf
Octopus: A Framework for Cost-Quality-Time Optimization in Crowdsourcing,1702.03488.pdf
,2209.12347.pdf
,1908.04470.pdf
Efficient Iterative Amortized Inference for Learning Symmetric and Disentangled Multi-Object Representations,2106.03630.pdf
,1909.01614.pdf
,1706.09506.pdf
,1512.06474.pdf
Learning Task Agnostic Skills with Data-driven Guidance,2108.01869.pdf
,1904.10751.pdf
,1711.01834.pdf
,2004.00910.pdf
,1808.04446.pdf
,2103.01044.pdf
,1605.09721.pdf
,1103.0267.pdf
Continual Reinforcement Learning deployed in Real-life using Policy Distillation and Sim2Real Transfer,1906.04452.pdf
,1806.04168.pdf
,2101.05768.pdf
,2004.08636.pdf
SETIT2003Mahdia1,1206.1615.pdf
Display to Labelled Proofs and Back Again for Tense Logics,1911.02289.pdf
A Human-Grounded Evaluation Benchmark for Local Explanations of Machine Learning,1801.05075.pdf
,2007.14730.pdf
,1507.05854.pdf
,2004.14899.pdf
,1212.4444.pdf
,1905.10201.pdf
,1807.06686.pdf
,2105.00141.pdf
,1909.13004.pdf
,2105.00234.pdf
,1207.6819.pdf
,2110.05340.pdf
,1410.6030.pdf
KQGC: Knowledge Graph Embedding with Smoothing Effects of Graph Convolutions for Recommendation,2205.12102.pdf
,1805.02709.pdf
,1905.08517.pdf
ncp-WS-2012-casc.eps,1304.1845.pdf
,2209.12616.pdf
,2010.01405.pdf
,2102.01538.pdf
,1502.04301.pdf
,1405.4341.pdf
,1811.07455.pdf
,1612.08821.pdf
,1802.00535.pdf
sv-lncs,2201.06250.pdf
,2206.05263.pdf
arXiv:1702.00311v1  [cs.DC]  29 Jan 2017,1702.00311.pdf
,1910.09185.pdf
,1210.0848.pdf
,2011.04930.pdf
Microsoft Word - 5,1006.3369.pdf
,1702.04866.pdf
Efficient Non-uniform Quantizer for Quantized Neural Network Targeting Re-configurable Hardware,1811.10869.pdf
,2106.05894.pdf
,1609.08210.pdf
Data Structure Primitives on Persistent Memory: An Evaluation,2001.02172.pdf
,1812.11793.pdf
Microsoft Word - ueoka最終修正.doc,1909.01078.pdf
,2211.02883.pdf
,2211.10883.pdf
,2201.09127.pdf
arXiv:1112.5671v1  [cs.SC]  23 Dec 2011,1112.5671.pdf
,2008.06298.pdf
,1604.07036.pdf
,1807.01497.pdf
,1403.2404.pdf
,2103.08364.pdf
,0704.0213.pdf
,1811.11635.pdf
Multiplayer Support for the Arcade Learning Environment,2009.09341.pdf
,2106.08627.pdf
,1908.01998.pdf
,2010.04573.pdf
,2007.07321.pdf
,2010.12081.pdf
arXiv:1008.1617v1  [cs.CC]  10 Aug 2010,1008.1617.pdf
,2004.03142.pdf
,1410.7026.pdf
,1409.4447.pdf
,2110.13470.pdf
Gain More for Less: The Surprising Benefits of  QoS Management in Constrained NDN Networks,1908.07592.pdf
A combined entropy and utility based generative model for large scale multiple discrete-continuous travel behaviour data,1901.06415.pdf
arXiv:1805.04190v1  [cs.GT]  10 May 2018,1805.04190.pdf
,1507.02821.pdf
,2205.12702.pdf
,1602.00710.pdf
,2106.15988.pdf
,1501.05819.pdf
,2004.11238.pdf
,2012.12126.pdf
Decidability of cutpoint isolation for letter-monotonic probabilistic finite automata,2002.07660.pdf
Microsoft Word - EAPE_2013_AH_RM_10_07_2013.doc,1406.1275.pdf
,2011.12199.pdf
,1912.00286.pdf
,1909.09459.pdf
,2301.01817.pdf
Privacy is What We Care About: Experimental Investigation of Federated Learning on Edge Devices,1911.04559.pdf
,1609.01211.pdf
,2208.11644.pdf
,2110.06394.pdf
,1202.3502.pdf
,1801.05284.pdf
,1008.2422.pdf
,2007.10503.pdf
,2105.14877.pdf
,2102.03705.pdf
,1707.07278.pdf
,1801.08266.pdf
,1102.5361.pdf
,1209.2038.pdf
,2106.08208.pdf
"Counting Answer Sets via Dynamic Programming Author=Johannes Fichte, Markus Hecher, Michael Morak, Stefan Woltran",1612.07601.pdf
Algorithms and software for projections onto intersections of convex and non-convex sets with applications to inverse problems.,1902.09699.pdf
Towards Facilitating Empathic Conversations in Online Mental Health Support: A Reinforcement Learning Approach,2101.07714.pdf
,1211.2441.pdf
,1712.04833.pdf
,2003.04808.pdf
,2210.16114.pdf
,1606.00037.pdf
,2003.10783.pdf
,1807.06180.pdf
arXiv:1603.07243v1  [cs.DM]  23 Mar 2016,1603.07243.pdf
,1512.06633.pdf
Towards a Higher-Order Mathematical Operational Semantics,2210.13387.pdf
,2008.07445.pdf
,1808.06355.pdf
,2201.02173.pdf
,2011.07092.pdf
,1707.07226.pdf
,2211.08387.pdf
,1912.10635.pdf
Ongoing Events in Wikipedia: A Cross-lingual Case Study,1801.07011.pdf
,2110.09075.pdf
TzK: Flow-Based Conditional Generative Model,1902.01893.pdf
,1710.10655.pdf
,2205.09674.pdf
,1605.06252.pdf
,2007.10916.pdf
UE4Sim: A Photo-Realistic Simulator for Computer Vision Applications,1708.05869.pdf
arXiv:1705.07551v1  [cs.DS]  22 May 2017,1705.07551.pdf
,1603.01080.pdf
,1911.01195.pdf
,2010.09557.pdf
,1708.09034.pdf
,1902.04995.pdf
,1911.12984.pdf
,2205.11585.pdf
,1505.06582.pdf
,1606.03540.pdf
,2005.07548.pdf
,2004.04006.pdf
,1805.07531.pdf
,1512.06050.pdf
,1406.4399.pdf
,2112.06563.pdf
,2112.12480.pdf
,1603.04374.pdf
,2009.12948.pdf
,2105.04876.pdf
,1804.05441.pdf
,2008.11378.pdf
,2009.12197.pdf
 ,2002.08596.pdf
,1410.5076.pdf
,2105.08488.pdf
DeepThin: A Self-Compressing Library for Deep Neural Networks,1802.06944.pdf
,1806.00751.pdf
Microsoft Word - Manufacturer_arxiv.docx,2008.08525.pdf
,1206.5754.pdf
,2010.09801.pdf
,2104.11225.pdf
arXiv:1703.10977v1  [cs.LO]  31 Mar 2017,1703.10977.pdf
,1905.13400.pdf
Paper Title (use style: paper title),2211.13990.pdf
,1512.04202.pdf
