PDF,TITLE
2105.01610.pdf,Reliving the Dataset: Combining the Visualization of Road Users' Interactions with Scenario Reconstruction in Virtual Reality
1307.1380.pdf,Microsoft Word - Bath paper.doc
1906.05505.pdf,Scalable Community Detection over Geo-Social Network
1910.12935.pdf,Precise Dataflow Analysis of Event-Driven Applications
2109.06287.pdf,Project 412Connect: Bridging Students and Communities
1303.3247.pdf,arXiv:1303.3247v1  [cs.IT]  13 Mar 2013
2002.06738.pdf,Shifted Lanczos method for quadratic forms with Hermitian matrix resolvents
2105.08878.pdf,title
2109.12621.pdf,Multi-Transformer: A New Neural Network-Based Architecture for Forecasting S&P Volatility
2009.01702.pdf,Linking Stakeholder Viewpoint Concerns with Microservices 
2008.08412.pdf,"Survey on Cryptocurrency Networking: Context, State-of-the-Art, Challenges"
1404.3862.pdf,Policy Gradients Beyond Expectations: Conditional Value-at-Risk
2106.07207.pdf,Straight to the Gradient:  Learning to Use Novel Tokens for Neural Text Generation
1702.07624.pdf,
0807.4478.pdf,Electronic format submission for AP2000
1305.4064.pdf,Font Acknowledgment and Character Extraction of Digital and Scanned Images
2010.02509.pdf,Finding Ethereum Smart Contracts Security Issues  by Comparing History Versions
1910.04561.pdf,APPLICAZIONE DEL MODELLO NUMERICO “MODFLOW” ALLO STUDIO DI UN ACQUIFERO COSTIERO DELLA PIANURA PONTINA
2107.11889.pdf,GCExplainer: Human-in-the-Loop Concept-based Explanations for Graph Neural Networks
1511.04934.pdf,116.docx
1011.6505.pdf,arXiv:1011.6505v1  [cs.SC]  30 Nov 2010
2107.01921.pdf,An Empirical Study of Rule-Based and Learning-Based Approaches for Static Application Security Testing
1401.3814.pdf,Information Geometry Approach to Parameter Estimation in Markov Chains
2002.03043.pdf,Semantic Robustness of Models of Source Code
2105.10729.pdf,Q-learning algorithm for resource allocation in WDMA-based optical wireless communication networks Final2 JE v4 clean
1605.06564.pdf,
2002.09766.pdf,Improving the Tightness of Convex Relaxation Bounds  for Training Certifiably Robust Classifiers
2210.07089.pdf,Automated Search Bias Models & YouTube Gender Bias Analysis
1901.10367.pdf,arXiv:1901.10367v1  [cs.LO]  29 Jan 2019
1912.01990.pdf,On Computing the Hamiltonian Index of Graphs
2001.11922.pdf,A study of defect-based error estimates for the Krylov approximation of phi-functions
1810.11921.pdf,AutoInt: Automatic Feature Interaction Learning via Self-Attentive Neural Networks
2002.06299.pdf,Loop estimator for discounted values in Markov reward processes
2104.14461.pdf,Microsoft Word - IJCAI21wk.DeepCBR.final.docx
2102.03679.pdf,A Review of Product Safety Regulations in the European Union
1109.5468.pdf,arXiv:1109.5468v1  [cs.LO]  26 Sep 2011
2006.06790.pdf,On Worst-case Regret of Linear Thompson Sampling
2006.16508.pdf,Learning to Ignore: A Case Study of Organization-Wide Bulk Email Effectiveness
1209.1086.pdf,Robustness and Generalization for Metric Learning
2110.05144.pdf,AWEU-Net: An Attention-Aware Weight Excitation U-Net for Lung Nodule Segmentation
2206.00801.pdf, Indeterminacy in Latent Variable Models: Characterization and Strong Identifiability
1702.03488.pdf,Octopus: A Framework for Cost-Quality-Time Optimization in Crowdsourcing
2106.03630.pdf,Efficient Iterative Amortized Inference for Learning Symmetric and Disentangled Multi-Object Representations
2108.01869.pdf,Learning Task Agnostic Skills with Data-driven Guidance
1906.04452.pdf,Continual Reinforcement Learning deployed in Real-life using Policy Distillation and Sim2Real Transfer
1206.1615.pdf,SETIT2003Mahdia1
1911.02289.pdf,Display to Labelled Proofs and Back Again for Tense Logics
1801.05075.pdf,A Human-Grounded Evaluation Benchmark for Local Explanations of Machine Learning
1207.6819.pdf,
2205.12102.pdf,KQGC: Knowledge Graph Embedding with Smoothing Effects of Graph Convolutions for Recommendation
1304.1845.pdf,ncp-WS-2012-casc.eps
2201.06250.pdf,sv-lncs
1702.00311.pdf,arXiv:1702.00311v1  [cs.DC]  29 Jan 2017
1006.3369.pdf,Microsoft Word - 5
1811.10869.pdf,Efficient Non-uniform Quantizer for Quantized Neural Network Targeting Re-configurable Hardware
2001.02172.pdf,Data Structure Primitives on Persistent Memory: An Evaluation
1909.01078.pdf,Microsoft Word - ueoka最終修正.doc
1112.5671.pdf,arXiv:1112.5671v1  [cs.SC]  23 Dec 2011
2009.09341.pdf,Multiplayer Support for the Arcade Learning Environment
1008.1617.pdf,arXiv:1008.1617v1  [cs.CC]  10 Aug 2010
1908.07592.pdf,Gain More for Less: The Surprising Benefits of  QoS Management in Constrained NDN Networks
1901.06415.pdf,A combined entropy and utility based generative model for large scale multiple discrete-continuous travel behaviour data
1805.04190.pdf,arXiv:1805.04190v1  [cs.GT]  10 May 2018
2002.07660.pdf,Decidability of cutpoint isolation for letter-monotonic probabilistic finite automata
1406.1275.pdf,Microsoft Word - EAPE_2013_AH_RM_10_07_2013.doc
1911.04559.pdf,Privacy is What We Care About: Experimental Investigation of Federated Learning on Edge Devices
1612.07601.pdf,"Counting Answer Sets via Dynamic Programming Author=Johannes Fichte, Markus Hecher, Michael Morak, Stefan Woltran"
1902.09699.pdf,Algorithms and software for projections onto intersections of convex and non-convex sets with applications to inverse problems.
2101.07714.pdf,Towards Facilitating Empathic Conversations in Online Mental Health Support: A Reinforcement Learning Approach
1603.07243.pdf,arXiv:1603.07243v1  [cs.DM]  23 Mar 2016
2210.13387.pdf,Towards a Higher-Order Mathematical Operational Semantics
1801.07011.pdf,Ongoing Events in Wikipedia: A Cross-lingual Case Study
1902.01893.pdf,TzK: Flow-Based Conditional Generative Model
1708.05869.pdf,UE4Sim: A Photo-Realistic Simulator for Computer Vision Applications
1705.07551.pdf,arXiv:1705.07551v1  [cs.DS]  22 May 2017
2002.08596.pdf, 
1802.06944.pdf,DeepThin: A Self-Compressing Library for Deep Neural Networks
2008.08525.pdf,Microsoft Word - Manufacturer_arxiv.docx
1703.10977.pdf,arXiv:1703.10977v1  [cs.LO]  31 Mar 2017
2211.13990.pdf,Paper Title (use style: paper title)
1406.3225.pdf,M3I: Framework for Context-Based Mobile Multimodal Interaction
1910.12116.pdf,Paper Title (use style: paper title)
2005.06963.pdf,A Survey on Large Scale Metadata Server for Big Data Storage
1602.08971.pdf,Alternating Set Quantifiers in Modal Logic
1708.02702.pdf,Neural Vector Spaces for Unsupervised Information Retrieval
1908.06309.pdf,ED2: Two-stage Active Learning for Error Detection - Technical Report
1910.03001.pdf,Trading off Complexity for Expressiveness in Programming Languages: Visions and Preliminary Experiences pdfsubject=Software engineering
2106.08286.pdf,IPIC 2021: Paper Protocol Transformation  (final)
2102.11362.pdf,A template for the arxiv style
2104.10533.pdf,
1807.04640.pdf,Automatically Composing Representation Transformations  as a Means for Generalization
2004.05631.pdf,At the Interface  of Algebra and Statistics
2301.02737.pdf,Understanding the (In)Effectiveness of Content Moderation: A Case Study of Facebook in the Context of the U.S. Capitol Riot
1907.06484.pdf,A study on the Interpretability of Neural Retrieval Models using DeepSHAP
2205.03437.pdf,Finding Points in Convex Position in Density-Restricted Sets
2103.01578.pdf,arXiv:2103.01578v1  [cs.NE]  2 Mar 2021
2211.03037.pdf,Paper Title (use style: paper title)
2110.07426.pdf,Fundamental Limits of Combinatorial Multi-Access Caching
1605.05291.pdf,Microsoft Word - JingWu-EMBC2016-reviewed
2007.10246.pdf,Addressing the Privacy Implications of Mixed Reality: A Regulatory Approach
1505.06256.pdf,Bio-Ontologies Submission Template
2108.02512.pdf,Understanding parents' perceptions of children's cybersecurity awareness in Norway
1212.5687.pdf,arXiv:1212.5687v1  [quant-ph]  22 Dec 2012
1504.07193.pdf,Secure Zones: an Attribute-Based Encryption Advisory System for Safe Firearms
1810.05260.pdf,Word Template
1103.0311.pdf,arXiv:1103.0311v1  [cs.IT]  1 Mar 2011
2001.04261.pdf,Integrated Sensing and Earthmoving Vehicle for Lunar Landing Pad Construction
1709.06713.pdf,Microsoft Word - MS_Humeres+Samaniego_ARXIV_.docx
1907.02873.pdf,Paper Title (use style: paper title)
1911.12739.pdf,Every Frame Counts: Joint Learning of Video Segmentation and Optical Flow
1106.5700.pdf,SOP-BCZ99-time.eps
2110.06910.pdf,On the Double Descent of Random Features Models Trained with SGD
2008.00334.pdf,Uncertainty-based Traffic Accident Anticipation with Spatio-Temporal Relational Learning
1412.7692.pdf,Microsoft Word - arxiv-rashmie
1804.00656.pdf,mQAPViz: A divide-and-conquer multi-objective optimization algorithm to compute large data visualizations
1310.6637.pdf,Reliable Algorithm for Extracting Web Data 
1101.3638.pdf,arXiv:1101.3638v1  [math.FA]  19 Jan 2011
2002.10078.pdf,TrojanNet: Embedding Hidden Trojan Horse Models in Neural Networks
2006.16344.pdf,Material Recognition for Automated Progress Monitoring using Deep Learning Methods
2109.07577.pdf,TransProteus Final For Arxive
2204.05653.pdf,arXiv:2204.05653v1  [cs.LO]  12 Apr 2022
1412.4999.pdf,Author Guidelines
2301.03329.pdf,Global Optimality Beyond Two Layers: Training Deep ReLU Networks via Convex Programs
2212.10641.pdf,ICIS 2007 Proceedings Template
1505.02905.pdf,A 8 bits Pipeline Analog to Digital Converter Design for High S
1009.2858.pdf,Microsoft Word - ASIST2012-Annot-DR-ChvdH-final-submission.doc
2004.08444.pdf,A mechanism-based gradient damage model for metallic fracture
1611.08484.pdf,arXiv:1102.0041v1  [cs.DS]  31 Jan 2011
2205.02289.pdf,MultiScope: Efficient Video Pre-processing for  Exploratory Video Analytics
2103.15395.pdf,Overleaf Example
2109.10737.pdf,arXiv:0712.2592v1  [math.PR]  16 Dec 2007
0712.2592.pdf,Long-term electricity market agent based model validation using genetic algorithm based optimization
1901.08149.pdf,Under Lock and Key:  A Proof System for a Multimodal Logic
1502.03513.pdf,Flow-Aware Platoon Formation of Connected Automated Vehicles in a Mixed Traffic with Human-driven Vehicles
2006.04768.pdf,Stabilizing Equilibrium Models by Jacobian Regularization
2207.03565.pdf,Microsoft Word - A hybrid TIM-NOMA scheme for the Broadcast Channel.docx
2110.04926.pdf,"Smooth q-Gram, and Its Applications to Detection of Overlaps among Long, Error-Prone Sequencing Reads"
1802.01189.pdf,Flatter is better: Percentile Transformations for Recommender Systems
1907.07766.pdf,"Fairness, Integrity, and Privacy in a Scalable Blockchain-based Federated Learning System"
2012.12502.pdf,SideRand
1804.02904.pdf,Parallel cut-cell algorithm for free-boundary Grad-Shafranov
2012.06015.pdf,Structure-from-Motion using Dense CNN Features with Keypoint Relocalization
2008.11921.pdf,Estimating Stochastic Linear Combination of Non-linear  Regressions Efficiently and Scalably
1008.1387.pdf,"The Hierarchical Chinese Postman Problem: the slightest disorder makes it hard,  yet disconnectedness is manageable"
2011.04022.pdf,Microsoft Word - updating2.DOC
0705.1759.pdf,Open Access proceedings Journal of Physics: Conference series
2110.13996.pdf,_
1811.04560.pdf,LawBreaker: An Approach for Specifying Traffic Laws and Fuzzing Autonomous Vehicles
1710.11151.pdf,A Hybrid Approach to Domain-Specific Entity Linking
2301.02931.pdf,Gourds: a sliding-block puzzle with turning
2011.00968.pdf,SMoTherSpectre: exploiting speculative execution through port contention
2207.07779.pdf,untitled
2108.08748.pdf,Competing Bandits:  The Perils of Exploration under Competition
1902.05590.pdf,Proceedings Template - WORD
2011.02303.pdf,"Termite-hill, from natural to artificial termites in sensor networks"
2003.02235.pdf,A linear streaming algorithm for community detection in very large networks
1912.09500.pdf,nongreedy_reveal_vary_gamma_D.eps
2110.08607.pdf,Classification via an Embedded Approach
2211.14962.pdf,arXiv:1201.0301v1  [cs.NI]  31 Dec 2011
1709.10312.pdf,C:\PII266\marcos\congres\eusipco92\eusipco92.wpd
2202.11831.pdf,Paper Title (use style: paper title)
2110.00173.pdf,A Hybrid Model for Forecasting Short-Term Electricity Demand
2110.02083.pdf,Semantic Photo Manipulation with a Generative Image Prior
2005.07727.pdf,A Deep Framework for Cross-Domain and Cross-System Recommendations
1905.11498.pdf,10pt
1905.01726.pdf,batch.eps
1711.09728.pdf,Few-shot link prediction via graph neural networks for Covid-19 drug-repurposing
1901.07705.pdf,sty_ga.eps
1911.06403.pdf,NwTheta7CellAlpha001Begin9010EndLocalLRI.eps
2103.10558.pdf,Article
1806.02457.pdf,Microsoft Word - arXiv.A Containerised Auth and Policy-driven Architecture using Microservices.docx
2004.10276.pdf,A Review of Financial Accounting Fraud Detection based on Data Mining Techniques
2209.11144.pdf,Algorithm based on BDD
1702.03564.pdf,A Preliminary Study for a Quantum-like Robot Perception Model
1905.00561.pdf,
1609.06749.pdf,Cleaning Denial Constraint Violations through Relaxation
2002.06163.pdf,"Microsoft Word - Dowdeswell, Sinha, Jarvis, Jarvis, & MacDonell (2020) IECON.docx"
2106.10795.pdf,A Predictive Model using the Markov Property
2110.10659.pdf,A Survey on Hardware-based Security Mechanisms for Internet of Things
2011.00828.pdf,arXiv:1002.4583v1  [cond-mat.dis-nn]  24 Feb 2010
1801.02745.pdf,AAAI Proceedings Template
1708.00781.pdf,Optimal epidemic dissemination
1709.00198.pdf,20200722 - Social Media and Health Misinformation during the US COVID Crisis
2101.12037.pdf,Multi-Access Distributed Computing
2105.01733.pdf,CloudTests_IM2013_camera_ready_v3.fm
1404.2637.pdf,Microsoft Word - Kerimbayev 2013.doc
1312.2585.pdf,Microsoft Word - halal_final.doc
1708.06248.pdf,Open Access proceedings Journal of Physics: Conference series
2006.16822.pdf,How Biased is the Population of Facebook Users? Comparing the Demographics of Facebook Users with Census Data to Generate Correction Factors
2207.11657.pdf,Improved Load Balancing in Large Scale Systems using Attained Service Time Reporting
1910.01931.pdf,How to Train Deep Variational Autoencoders and Probabilistic Ladder Networks
1602.02282.pdf,Microsoft Word - ManuscriptR-submit
1810.03068.pdf,A Comprehensive Safety Engineering Approach for Software-Intensive Systems Based on STPA
1010.5569.pdf,The Non-uniform Fast Fourier Transform in Computed Tomography (Pre-dissertation Report)
1206.6813.pdf,KompaRe: A Knowledge Graph Comparative Reasoning System
2212.08241.pdf,An investigation of MMM Ponzi scheme on Bitcoin
1903.10709.pdf,A hierarchical preconditioner for wave problems in quasilinear complexity
2104.05010.pdf,Digraphs with Distinguishable Dynamics
1012.4556.pdf,Evaluating Deep Neural Networks for Image Document Enhancement
2106.15286.pdf,DNA Solution of the Maximal Independent Set Problem
0712.1863.pdf,Paper Title (use style: paper title)
2007.00899.pdf,Mesh Reconstruction from Aerial Images for Outdoor Terrain Mapping Using Joint 2D-3D Learning
1903.03793.pdf,Microsoft Word - LSTM_RPU_Manuscript_v0.4.1.docx
2104.12294.pdf,Normalized Wasserstein Distance for Mixture Distributions with Applications in Adversarial Learning and Domain Adaptation 
1902.00415.pdf,Using a Binary Classification Model to Predict the Likelihood of Enrolment to the Undergraduate Program of a Philippine University
1903.04959.pdf,Differentiating through the Fréchet Mean
1707.00907.pdf,ProphetNet: Predicting Future N-gram for Sequence-to-Sequence Pre-training
1808.00430.pdf,arXiv:1010.5582v1  [cs.PL]  27 Oct 2010
2105.02400.pdf,Personalized Federated Learning with Clustered Generalization
2001.00649.pdf,Reliability.eps
2111.07964.pdf,Handgun detection using combined human pose and weapon appearance
2106.06666.pdf,LoMEF: A Framework to Produce Local Explanations for Global Model Time Series Forecasts
1105.2225.pdf,Learning How to Walk: Warm-starting Optimal Control Solverwith Memory of Motion
1911.06958.pdf,Extending Expressive Access Policies with Privacy Features
1905.01530.pdf,Microsoft Word - 130-137
2204.01790.pdf,Model-Based Development of Distributed Embedded Systems by the Example of the Scicos/SynDEx Framework
2004.06750.pdf,A Flexible Proof Format for SAT Solver-Elaborator Communication
1811.05304.pdf,Microsoft Word - Final_Copy_IADM_Paper.docx
2201.12490.pdf,Microsoft Word - 4.doc
2011.14282.pdf,Microsoft Word - interaction2015-animalcatcher.docx
1712.04609.pdf,Multimodal Feature Fusion for Video Advertisements Tagging Via Stacking Ensemble
2108.00679.pdf,"Accuracy, Interpretability, and Differential Privacy via Explainable Boosting"
2001.05636.pdf,Microsoft Word - Peng_Zhu_Understanding online behaviors through a temporal lens_V1.docx
2208.10322.pdf,SOS Decomposition
2107.11825.pdf,Microsoft Word - taming-sse-new.2
2012.07462.pdf,Identity-Aware CycleGAN for Face Photo-Sketch Synthesis and Recognition
2103.16019.pdf,Tracking a Threshold Crossing Time of a Gaussian Random Walk Through Correlated Observations 
2009.10988.pdf,arXiv:0902.1736v1  [cs.NI]  10 Feb 2009
0902.1736.pdf,arXiv:1405.6630v1  [cs.GT]  26 May 2014
2004.01882.pdf,Microsoft Word - template-velgias.docx
2102.00434.pdf,Assessing Impact of Data Partitioning forApproximate Memory in C/C++ Code
2004.01637.pdf,ReportV2
2106.01092.pdf,Generalized Hidden Parameter MDPs Transferable Model-based RL in a Handful of Trials
1904.01700.pdf,CIB 2011-W78-W102-Paper Example
1302.4726.pdf,Catastrophic forgetting: still a problem for DNNs
1905.08077.pdf,On Construction of a Class of Orthogonal Arrays
1406.5694.pdf,HoloScope: Topology-and-Spike Aware Fraud Detection
2104.05888.pdf,A Case Study on Pros and Cons of Regular Expression Detection and Dependency Parsing for  Negation Extraction from German Medical Documents. Technical Report
2210.05836.pdf,Learned Low Precision Graph Neural Networks
1912.12914.pdf,Efficient Implementation of Non-linear Flow Law Using Neural Network into the Abaqus Explicit FEM code
1405.7545.pdf,Human-agent coordination in a group formation game
2002.04869.pdf,Microsoft Word - 2company 20110328 szeto
2005.05236.pdf,Open-Retrieval Conversational Question Answering
1804.00501.pdf,arXiv:2010.10421v1  [math.OC]  20 Oct 2020
1302.1506.pdf,SSLP
1609.07835.pdf," Benchmarking, Analysis, and Optimization of Serverless Function Snapshots "
2002.06851.pdf,Use of IF for assessing individual articles
1503.09025.pdf,Automatic Comic Generation with Stylistic Multi-page Layouts and Emotion-driven Text Balloon Generation
2103.13246.pdf,NullaNet: Training Deep Neural Networks for Reduced-Memory-Access Inference
2007.06655.pdf,Rational Krylov methods for fractional diffusion problems on graphs
2103.04257.pdf,Optimal Scheduling for Fair Resource Allocation in Ad Hoc Networks with Elastic and Inelastic Traffic
1704.03219.pdf,Microsoft Word - DeMoor160409_ACM.doc
1406.5977.pdf,Multi-source Distilling Domain Adaptation
1808.10859.pdf,Microsoft Word - final3csbp
1805.08455.pdf,Paper Title (use style: paper title)
1308.2307.pdf,Paper Title (use style: paper title)
2106.15331.pdf,A review of machine learning in processing remote sensing data for mineral exploration
2010.13313.pdf,Understanding Concurrency Vulnerabilities in Linux Kernel
1811.01811.pdf,SENSOR-BASED SPREADER AUTOMATION FOR REDUCING SALT USE AND IMPROVING SAFETY
2010.12983.pdf,arXiv:2109.09188v1  [eess.IV]  19 Sep 2021
1909.10289.pdf,Community-Empowered Air Quality Monitoring System
2008.07779.pdf,Enhanced Performance for the encrypted Webthrough TLS Resumption across Hostnames
1902.02531.pdf,arXiv:2205.12597v1  [cs.DC]  25 May 2022
2010.13856.pdf,Byzantine Lattice Agreement in Asynchronous Systems
2007.10599.pdf,Issues in Object Detection in Videos using Common Single-Image CNNs
0705.1309.pdf,Microsoft Word - oai_paperv21.docx
1708.08669.pdf,Nigam-Pollock article
2205.13068.pdf,"An Improved Algorithm for hypot(a,b)"
1811.08528.pdf,Total irregularity of a graph
1808.00528.pdf,Gillian: Compositional Symbolic Execution for All
2001.05059.pdf,Optimistic Proximal Policy Optimization
2102.05437.pdf,iphone teacher arxiv
2105.07220.pdf,Capsule Graph Neural Networks with EM Routing
1802.03201.pdf,Komputerowe algorytmy ekstrakcji i śledzenia obiektów w czasie rzeczywistym
1707.01745.pdf,Performance Impact of Idle Mode Capability on Dense Small Cell Networks with  LoS and NLoS Transmissions
1301.5953.pdf,Microsoft Word - 3047-27959-4-CE.doc
1004.4734.pdf,Microsoft Word - p2p_evolutionary_game_v13.doc
1102.1503.pdf,cost-vs-nepochs-netflix.eps
2004.07574.pdf,
1909.03567.pdf,Microsoft Word - Automatic_Keyphrase_Extraction_arXiv.docx
1908.03800.pdf,Adversarial Machine Learning in Recommender Systems: State of the art and Challenges
1310.5426.pdf,Delay-Constrained Rate Control for Real-Time Video Streaming with Bounded Neural Network
1707.01959.pdf,Situating Recommender Systems in Practice: Towards Inductive Learning and Incremental Updates
2103.11184.pdf,Microsoft Word - Csemely-network-support-of-talents-arxiv.doc
2104.13215.pdf,A template for the arxiv style
2107.10456.pdf,On the Convergence of Decentralized Gradient Descent
1902.01642.pdf,Microsoft Word - Context_icemc_final.doc
1603.04319.pdf,Untitled
1307.4564.pdf,Microsoft Word - 20141107-MacauPollutionPaper.docx
2109.09241.pdf,LieTransformer: Equivariant self-attention for Lie Groups
2208.05786.pdf,Reconfigurable Inverted Index
1808.03969.pdf,Stochastic Discontinuous Galerkin Methods with Low–Rank Solvers for Convection Diffusion Equations
1801.08406.pdf,untitled
2111.10930.pdf,
1008.1653.pdf,BERN2_20220106_for_arxiv
2301.04788.pdf,Fast and Scalable Inference of Multi-Sample Cancer Lineages
2107.01378.pdf," Integrating State of the Art Compute, Communication, and Autotuning Strategies to Multiply the Performance of the Application Programm CPMD for Ab Initio Molecular Dynamics Simulations "
1701.01161.pdf,Tiny Buffer TCP for Data Center Networks
2204.08644.pdf,Contraction-Based Sparsification in Near-Linear Time
1703.00112.pdf,Structural Consensus in Networks with Directed Topologies and Its Cryptographic Implementation
